#DRT_type;DRT;rifampicin;isoniazid;ethambutol;pyrazinamide;moxifloxacin;levofloxacin;bedaquiline;delamanid;pretomanid;linezolid;streptomycin;amikacin;kanamycin;capreomycin;clofazimine;ethionamide;para.aminosalicylic_acid;cycloserine;description
DRT_type;DRT;RIF;INH;EMB;PZA;MFX;LFX;BDQ;DLM;Pa;LZD;STM;AMK;KAN;CAP;CFZ;ETO;PAC;CYR;description
Mono-DR TB;Mono-DR (PZA);"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Pyrazinamide resistance
Mono-DR TB;Mono-DR (EMB);"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Ethambutol resistance
Mono-DR TB;Mono-DR (CAP);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Capreomycin resistance
Mono-DR TB;Mono-DR (ETO);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";Ethionamide resistance
Mono-DR TB;Mono-DR (DLM);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Delamanid resistance
Mono-DR TB;Mono-DR (BDQ);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Bedaquiline resistance
Mono-DR TB;Mono-DR (PMD);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Pretomanid resistance
Mono-DR TB;Mono-DR (LZD);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Linezoid resistance
Mono-DR TB;Mono-DR (AMK);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Amikacin resistance
Mono-DR TB;Mono-DR (KAN);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Kanamycin resistance
Mono-DR TB;Mono-DR (CFZ);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";Clofazimide resistance
Mono-DR TB;Mono-DR (PAC);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";Para-aminosalicylic acid resistance
Mono-DR TB;Mono-DR (CYR);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";Cycloserine resistance
Poly-DR TB;Poly-DR (INH+NIM+CAP);"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Isoniazid, and a nitroimidazole (DLM, PMD), and CAP resistance
Poly-DR TB;Poly-DR (INH+ETO);"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";Isoniazid and ethionamide resistance
Poly-DR TB;Poly-DR (FQ);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Fluoroquinolone resistance
Poly-DR TB;Poly-DR (STM+PZA+ETO);"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";Streptomycin, pyrazinamide and ethionamide resistance (first-line TB treatment drugs)
Poly-DR TB;Poly-DR (AMK+CAP+KAN);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"!= ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Second-line injectable resistance
Poly-DR TB;Poly-DR (RIF+DLM);"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Rifanpicin and delamanid resistance
Poly-DR TB;Poly-DR (RIF+FQ);"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Rifanpicin and a fluroquinolones resistance
Poly-DR TB;Poly-DR (NIM);"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"!= ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";Nitroimidazole (delamanid and pretomanid) resistance
Poly-DR TB;Poly-DR (FQ+PZA);"== ""S""";"== ""S""";"== ""S""";"!= ""S""";"(!= ""S"" || == ""S"")";"(!= ""S"" || == ""S"")";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";"== ""S""";A fluoroquinolone and pyrazinamide resistance
